tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1085253928562950150g,@jojoh888 So much for Soros’ ability to prognosticate. His 2018 ‘Democrat landslide’ came up a tad bit short. The Senate &amp; Presidency are firmly in the Republican’s grasp and 2020 looks like this is very likely. https://t.co/c61Cebf575,http://pbs.twimg.com/media/Dw-YsZ3X0AA53Oq.jpg,bi,bisexual,NA,NA,NA,NA,soros,jewish,NA,NA,NA,NA
1090670659200520192g,"@BigWoodsEMotor @BuildingMadison @CvtPlastics @americorpusa @AZMetals @MW_Polymers @WMPaintingInc_ @CrescentSw_Inc @factybuysdirect @BalboaCapital @ToyotaEquipment @OVVeterans @WhitelawRigging @prierproducts @RomaFence @CMGPrecision @SocialSMktg @DCSCInc @fandmplumbing @level5pntgllc @HowdonPower @ReichTool @BigWoodsEMotor, we feel your pain. Saturday will feel like the Bahamas! Hang in there, everyone. Stay warm! 😎 https://t.co/okXGtfMUpS",http://pbs.twimg.com/tweet_video_thumb/DyLW-JTX4AIJfQU.jpg,bi,bisexual,NA,NA,NA,NA,bahamas,black,hamas,middle eastern,NA,NA
1165392056178630656g,RACISTS WILL NOT REPLACE US!! https://t.co/ovqvKZIWhM,http://pbs.twimg.com/media/ECxN4wfXUActSZY.jpg,NA,NA,NA,NA,NA,NA,racist,minority,racists,minority,NA,NA
1128087092003782663g,This is also happening in the United States France Germany Belgium England Spain Italy. And what does China do they have put two million Muslims in concentration camps and we not say a word wonder why https://t.co/YANkYf7zJj,http://pbs.twimg.com/media/D6fFOiGWkAA0u69.jpg,NA,NA,NA,NA,NA,NA,muslim,middle eastern,muslims,middle eastern,NA,NA
1092572075330596864g,@RepBarbaraLee @DMashak @SpeakerPelosi Not exactly true....she was also friends with Sen Byrd a grand Wizard of the KKK.... and https://t.co/DU5eyO8t2v,http://pbs.twimg.com/media/DymYggTXQAErQTS.jpg,NA,NA,NA,NA,NA,NA,kkk,white,NA,NA,NA,NA
1143622356616851457g,@TeaPainUSA His creds were lost long ago. He has no Iranian friends. Just lyin on n on https://t.co/RDzNT6e5TA,http://pbs.twimg.com/media/D972d3NXsAAjYyw.jpg,NA,NA,NA,NA,NA,NA,irani,middle eastern,iranian,middle eastern,NA,NA
1092436678474645505g,"@EbonyEmpress5__ @erigirl93 @kingsbruh @Mr1738 Black Americans are not ""oppressing"" immigrant communities. You are flourishing here. White Supremacy invites you into spaces that we cannot occupy, but our ppl BUILT this nation. That is the conflict. To add insult your ppl adopt all of the negative attitudes to us from whites. https://t.co/hTnkjNTEsd",http://pbs.twimg.com/tweet_video_thumb/DykdXAfXcAEqiBs.jpg,NA,NA,NA,NA,NA,NA,immig,immigrant,immigrant,immigrant,migrant,immigrant
1162992766705647617g,Millions in Maralago Golfing bombing &amp; Trump Towers durring his presidency with Russia hacking #TrumpRICO #NOONEISABOVETHELAW #ObstuctionOfJudtice #Extortion #Bribery #DonaldJTrumpMoneyLaundering #ImpeachTrumpNow #ImpeachmentInquiryNow #ImpeachTrumpPenceMitch #Russia #KKK BANDITS https://t.co/l6mcYKxYBw,http://pbs.twimg.com/media/ECPHviUW4AIg6W5.jpg,bi,bisexual,NA,NA,NA,NA,kkk,white,NA,NA,NA,NA
1155110800555675648g,"Some of the Jews were persuaded and joined Paul and Silas, as did a large number of God-fearing Greeks and not a few prominent women. — Acts 17:4 https://t.co/azV5cJVp9h",http://pbs.twimg.com/media/EAfHJiRX4AA2b5F.jpg,NA,NA,NA,NA,NA,NA,jews,jewish,jew,jewish,NA,NA
1091544801009418241g,Too all my Brothers and Sisters around the globe and in the cloud 🙏 A Happy and memorable Black History Month. #EqualityForAll #BlackHistoryMonth #Blacklivesmatter #Resist https://t.co/zHMPPg2iC2,http://pbs.twimg.com/tweet_video_thumb/DyXyNLKVsAAdozU.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,black history,black,blacklivesmatter,black
1091453138509402113g,Ralph Northam: “Ed Gillespie is a racist for wanting local governments to decide whether or not to keep Confederate statues” Also Ralph Northam: https://t.co/e5Zpas0MVG,http://pbs.twimg.com/media/DyWe1yoX0AAjzEI.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1146810460475482113g,"@yestradamous @SXMProgress @RepDebHaaland @DeanObeidallah SHE'S A SO CALLED NATIVE, and stands for Sanctuary Cities, Policies, Illegals and calls it equality. I'm Native American also and I'm for lawful entry like many have done. Not this sense of entitlement that she supports for these Illegals. Equality is hogwash.🤔🇺🇸🏹 #VoteThemOut https://t.co/k8ZyS4e2b0",http://pbs.twimg.com/media/D-pKBh_WsAM7WRS.jpg,NA,NA,NA,NA,NA,NA,illegals,immigrant,NA,NA,sanctuary,immigrant
1150409354127896576g,"@DinaDianaRN @realDonaldTrump Did you include White People in those whom you unfoundedly determined had No Medical Ins.? As for your 'over-taxed middle-class', remember it was Trump who gave over $2 Trillion in reduced taxes to the most Wealthy &amp; NOTHING for the middle-class or poor? https://t.co/q5627JSQsB",http://pbs.twimg.com/media/D_cTCx1UcAERYfT.jpg,NA,NA,NA,NA,NA,NA,white people,white,NA,NA,NA,NA
