tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1263990245432926215g,"@CBSNews @DerrickNAACP IN 2015 Trump asked MY black voters see them back there,"" WHAT DO U HAVE TO LOOSE"" U was not as flabbergasted. That comment should not be taken as racist compared to Trump racist attacks ON black women reporters &amp; D four black young men in NY https://t.co/jG81G5afne",http://pbs.twimg.com/media/EYqYa4cWAAArWny.jpg,NA,NA,NA,NA,NA,NA,black women,black,racist,minority,NA,NA
1277294469898022913g,He’s not even trying to hide his racism anymore tweeting a video of people yelling “white power” &amp; calling them great people. It doesn’t get more blatant than this. #trumpisracist #Disgusting https://t.co/dcfS5HPIGY,http://pbs.twimg.com/ext_tw_video_thumb/1277294437014659072/pu/img/qjw2or8llp-YlQ_A.jpg,NA,NA,NA,NA,NA,NA,racism,minority,racist,minority,NA,NA
1245152577194299392g,"@belensisaw @briebriejoy That is not #BlackGirlMagic, Yvette. https://t.co/tIDfETO9Ys",http://pbs.twimg.com/tweet_video_thumb/EUerqKKWkAARkhV.jpg,NA,NA,NA,NA,NA,NA,blackgirlmagic,black,NA,NA,NA,NA
1282458980166426624g,@OHAOregon Stay out of actual taxpaying Oregonians lives you Soros trained and funded bastards. SIGN THE RECALL PETETION ALREADY. https://t.co/h1C5m7cPNR,http://pbs.twimg.com/tweet_video_thumb/Ecw1oyLU0AI0Lsb.jpg,NA,NA,NA,NA,NA,NA,soros,jewish,NA,NA,NA,NA
1267233583636373509g,"IF YOU’RE NOT WILLING TO KNEEL WITH US, YOU ARE NOT A GOOD COP. #ISaidWhatISaid #BlackLivesMatter IF ALL COPS AREN’T BAD, they should ALL be KNEELING. https://t.co/1IwPRVTnJ4",http://pbs.twimg.com/media/EZYeOayWkAInyzo.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,NA,NA
1233730493801205760g,Let me guess @realDonaldTrump. @Mike_Pence is using the same approach to combat the #Coronavirus as he does gun violence and homosexuality...prayer. https://t.co/n8AfB3IiJg,http://pbs.twimg.com/tweet_video_thumb/ER8XV3uWkAA7Q5_.jpg,homosexual,lgbtq+,homosexuality,lgbtq+,homo,lgbtq+,NA,NA,NA,NA,NA,NA
1236986775635144704g,"Attending @BarnardCollege certainly affirmed my personhood. Daily we were reminded that we were strong Barnard women.💪 Nevertheless, church &amp; society question my #blackgirlmagic daily. Shirley said bring a chair; my granddad taught me to BUILD my own chair! #WomensHistoryMonth https://t.co/jpk7i3ySST",http://pbs.twimg.com/media/ESqo6qGXYAIhAAi.jpg,NA,NA,NA,NA,NA,NA,blackgirlmagic,black,NA,NA,NA,NA
1283424427384897536g,"@missps_1 This CPR rubberDummy on stretcher has no legs.They used 4 multiple similar faced black men and a CPR Dummy and shot footage several times and spliced footage together for ultimate impact. I even believed it at first. It looked like a Snuff Film for world to see,but was all FAKE https://t.co/I7LzizKnjz",http://pbs.twimg.com/media/Ec-jpFeXgAEl49n.jpg,NA,NA,NA,NA,NA,NA,black men,black,NA,NA,NA,NA
1302583868332048385g,@charliekirk11 Trump is a racist. You’re dumb. You’re losing. #TrumpIsARacist https://t.co/XuOvCB1z0g,http://pbs.twimg.com/media/EhO1H74WsAAbif-.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1267602309359403008g,"If you stand with TRUMP today, June 1,2020 you have chosen to stand with a DICTATOR. #protests2020 #GeorgeFlyod #BlackLivesMatter #NoJusticeNoPeace https://t.co/d36a4xN9qU",http://pbs.twimg.com/media/EZdtlAQU4AE0cIv.jpg,NA,NA,NA,NA,NA,NA,#blacklivesmatter,black,blacklivesmatter,black,NA,NA
