image,text
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345025522128932870g.png,"Gachas-mente hablando empece el año cool. En AL saque un barco SR de un drop. En Honkai solo me falto la stigmata B de la nueva Durandal... Ahora vamps a ver como me va con los rolls por Tama Caster en FGO. Tiren buena vibra, raza. https://t.co/HJ3cCVZlOx"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345025647559766016g.png,Our singles collection is live on bandcamp! This is an exclusive release featuring our three previously released singles and one new song! https://t.co/HMQZagWf6O #punk #punkrock #TransRightsAreHumanRights #BlackLivesMatter https://t.co/bmOlqJsiDN
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345026854793703428g.png,@JenaGriswold Starting a grassroots equity group that inspired a city equity &amp; racism task force. My kids. My county went 💙. Thankful for how easy it is to vote in our state! #TheFutureIsBright https://t.co/DrIGDQ9i4r
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345028233025249281g.png,"@dionnewarwick good morning beautiful sister I love how you are inspiring people in affluent positions to be a better person, I am Lakota /Sioux and we have much in common, you are a blessing and a beacon of hope, the women will lead this awakening @20UnionPrinters @ChrashleyAnn https://t.co/8fQxvsrURI"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345029944846508032g.png,It’s a real nigga birthday! 🥳🎂 gon head and bless ya girl if you feeling generous in this new year! #Jan1st #NewYearBaby https://t.co/aXJWmEfQQ6
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345030065390759938g.png,Thank you Indonesian Space Explorer InSpacE #ariss #sstv #iss #amsat #space #hamradio https://t.co/eVJdk8zKgI
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345044693650989064g.png,I got the tommy on my body it aint hilfigure We put them holes up in his body nigga he’ll figure....Out 🤝🦦 https://t.co/23txKumvXL
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345045249538842630g.png,y’all #StayWoke 👀@theonlyoya 💯 https://t.co/JWpoydk1OJ
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345046414838128640g.png,@WhoisAgentP Colombian! The only kind I know ☺️ https://t.co/4ScunFCMB2
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345046972399575048g.png,"@denne_eric @SamuelWBell @GeneValicenti @MackDistrict6 @NBC10 @SenatorRuggerio All Catholics and Jews and Hindus who practice our religion the way we always have use cannabis in our rituals. Can you take your head out of whatever is restricting oxygen long enough to go read the First Amendment? Also, cannabis is an HERB, not a drug, silly! https://t.co/mOMzSL2Rvw"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345047649054056449g.png,"We established an international collaboration with 14 countries in Latinoamerica to study the impact of COVID-19 on the well-being and memory of older Latinos!! 🎉 We collected survey data in &gt;2,000 and wrote together a 1st manuscript! @MGHmapp @Valeria_LTorres 👏🏼 5/ https://t.co/Ek5S2s4i6M"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345048799727783938g.png,"@denne_eric @SamuelWBell @GeneValicenti @MackDistrict6 @NBC10 @SenatorRuggerio And Senator Sammy did not rescind his ‘like’. Obviously he’s as bigoted and racist as you are! People used to say we should exclude gays because they spread diseases like AIDS, you sound even more deplorable then these homophobes. You’re a Christ-o-phobe! https://t.co/xSiCF6WSHg"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345050919357067266g.png,I think I woke up blocked by like two different niggas. 😂🤣 Ain’t no way they mad at my single aas for laying up. https://t.co/cmq6A5bseP
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345054915434049536g.png,Leaving that party 🎈🎊🎉 In the same hurry the jews left Egypt .... Just Praying 🙏🙏🙏🙏 That no one inside actually saw the amount of food you just took TO GO #PositiveVibes #positiveenergy ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ https://t.co/PMPzaOSKWM
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345062312508420101g.png,Cooking pig Trotter's with Black Eyed Peas &amp; collards for the traditional New Years supper... thanks to the Asian influence pig feet &amp; hocks are easily found. Unlike the elusive silver dollar hidden in the pot #HappyNewYear2021 https://t.co/NPqgfjQDJh
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345063790954614785g.png,@LOVREGA FELIZ AÑO !!!!! Mexicanos Unidos por un México sin morena!!!!! https://t.co/KaGPqC8dvv
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345066823159607297g.png,it was me! im that nigga! #punched #CallofDuty https://t.co/biiBykxZXN
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345067806476312578g.png,"From debated on, to waited on. From hated on, to the nigga they put cake up on. 🦄 #BlameSwoope #M88 #MACRO #SuperFriends #RealMuzik https://t.co/ywMF2Hhgqn"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345068176053207040g.png,Last year saw a nationwide racial justice reckoning as everyone from local governments to large corporations grappled with systemic inequity &amp; declared that #BlackLivesMatter. What happens when we apply that same energy to housing? https://t.co/47oTPJltr4
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345069422608838656g.png,When my shit touchdown I’m dropping a Video cuz you Reseller niggas could SMD https://t.co/eLvGYXQvYi
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345074939557253120g.png,When the old nasty redneck maga woman say “oh you have the same name as my favorite tv news person” https://t.co/IbidO9lfxa
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345076110585950216g.png,"It was an honor to be recognized by the #KYAlliance last night alongside my colleagues &amp; friends ⁦@atticascott4ky⁩, ⁦@RepNimaKulkarni⁩ &amp; ⁦@Booker4KY⁩. Thank you, ⁦@Seasoned4u⁩ &amp; the Alliance for all you do. #JusticeforBreonnaTaylor #SayHerName https://t.co/I25UUJNu5C"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345083675914825729g.png,"But that's at the beginning of the century. Certainly after the Free Speech, Civil Rights, &amp; Antiwar Movements, Berkeley’s progressive vanguard would embrace multifamily living that allows people of color, young people, &amp; workers of all kinds to build stable community. Oh. https://t.co/LLZmSCXQE1"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345083968920707075g.png,"What Hawley, Rutherford &amp; 139 of their Congressional GOP colleagues are peddling are grotesque fabrications. The “big lie” of election denial has some eerie resemblances to Holocaust denial—&amp; it is no less dangerous. I explain here: https://t.co/8WigvKmgpJ https://t.co/IkHMJKZwYg"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345084691339235329g.png,@Chris_Benjiii Every other race get on here and watch black men and women slander each other like https://t.co/qWDe2dCxYD
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345085216419934209g.png,Y’all this my snowman my Nigga. Flat head Derick. We both going threw some shit but we gone make it out just fine. https://t.co/5BC26AQTyF
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345090572491472896g.png,How to eat Haitian food pt. 2🇭🇹🤤 https://t.co/pnchtdAT1c
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345095167401996289g.png,11 Black Tea w/ @MelaynaWilliams 12 @louderthanariot w/@sid_madden 13 Floodlines 14 Seat at the Table 15 @truenorthviews 16 The United States of Anxiety 17 @NPRCodeSwitch w/ @_NatalieEscobar 18 Anti-Racist Educator Reads w/ @clclyne 19 @book_women 20 @itsacontinent https://t.co/sVkgjOIaqr
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345096786923442177g.png,New Years edits. Happy New Year #photography #photos #nonbinary #nobinario #transmen #transgender #blackmen #Minneapolis #photographer #PHOTOS https://t.co/7HZ3mrHOcH
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345100899899867137g.png,Today is a NEW day literally being 1/1/2021! Make the most of it by taking steps towards your destiny by make S.M.A.R.T. goals! #LGBTQIA2020 #LGBTQ #LGBTQIAfamily #Influencer #BlackLivesMatter #lgbtq🌈 #podcastersofinstagram #lgbtpride #black #latinx #southcarolina #HAPPYNEWYEAR https://t.co/uWTyJZhTPb
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345101706405662721g.png,imagine not bing latino anymore https://t.co/7bxYmnLCwb
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345102802213888000g.png,Didn’t start the New Year with a dub but white man can jump lol @bod_gamer https://t.co/JBFLykUO6x
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345104213446193154g.png,Happy Haitian independence day to the Zoes!!!!! https://t.co/AwMwDmEO0H
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2021mixed/1345112756874305536g.png,@WillReyes7 @Gdad1 @doxie53 @WELLNESSxAll @AmpZulu @Crowmedic @nurse_ruthie @QueenHack @OCSlacker1 @ChiTownSidBrown @JCTheResistance @OopsIDrankToDat @EthanLK2001 @BechirSfina @stevie936 @AximNYC @Larrykenn @robertinwashin1 @WhitfordTed @Ukulele19 @chukosh KKK meetings! https://t.co/jiJb3ZPREQ
