tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1225163595434156033g,@_HAWK21 Idk what she is.. but it ain’t white lol on IG she looks like she’s from some island or something lol like Brazil or something... she looks like my little cousins that’s black and Asian lol https://t.co/DDiXuwSEZw,http://pbs.twimg.com/media/EQCnyfcVUAAnIwe.jpg,NA,NA,NA,NA,NA,NA,asian,asian,NA,NA,NA,NA
1225163751944527873g,"Starting this weekend, there will be a VISIONS Pop Up Shop every Sunday from 12-4 PM at Lav Studios. Come out and buy some fresh Polar Movement year while it’s hot. This black history month, support black business - ✊🏽 #DC #Maryland #VISIONS #ThePolarMovement https://t.co/3fRJqJnRKr",http://pbs.twimg.com/ext_tw_video_thumb/1225163707690274816/pu/img/jzfMYFy4dHvqq-Pn.jpg,NA,NA,NA,NA,NA,NA,black history,black,NA,NA,NA,NA
1225171327973240835g,"Are you ready #ChatoTanzania?! Breath of Life is coming next month, February 22, for our Mungu Kwanza (God First) Revival! Dr.Byrd is looking forward to worshipping with you! #Tanzania #Mungukwanza #ChatoTanzania #BreathOfLife #GodFirst #revival #gospel #hope #Bible #Truth https://t.co/lybA1XJs1n",http://pbs.twimg.com/media/EQCu08cWsAAIA7d.jpg,bi,bisexual,NA,NA,NA,NA,tanzania,black,NA,NA,NA,NA
1225175183671033856g,"Same niggas be flossing weak ass top grills, they homeboy/brothers balenciagas &amp; fake jewelry 🤦🏽‍♂️ #jokes https://t.co/PFX7CSlGFt",http://pbs.twimg.com/media/EQCyVVHWAAMHnzn.jpg,NA,NA,NA,NA,NA,NA,nigga,black,niggas,black,jew,jewish
1225176848679809025g,Always be mindful of your WHY! Highlights from such an amazing first semester with my babies! @JohnAntonetti You have to see what we are doing at Broadview Middle School @BMSBobcats! Broadview's Ancient Egyptian Museum https://t.co/0NKYWXjGvB,http://pbs.twimg.com/media/EQCzwjmW4AAAQZs.jpg,bi,bisexual,NA,NA,NA,NA,egyptian,middle eastern,NA,NA,NA,NA
1225179144020996104g,"The #CriminalInChief has been #acquitted by the #RepublicanCoverUp party of #greedy rich old white men. To @realDonaldTrump and his disturbing, deceptive, dereliction of duty #RepublicansEnablingTrump #congerss. #god will take care of what wasn't done today. I can wait! @MSNBC https://t.co/CP254O4Ras",http://pbs.twimg.com/media/EQC17_LXkAEk3D2.jpg,bi,bisexual,NA,NA,NA,NA,white men,white,NA,NA,NA,NA
1225181359867662342g,"Gold On My Teeth, She Like When A Young Nigga Smile🤩 https://t.co/2FDsqC5oAX",http://pbs.twimg.com/media/EQC37oOXsAA05y-.jpg,NA,NA,NA,NA,NA,NA,nigga,black,NA,NA,NA,NA
1225184985746939906g,So I just started #NextInFashion because I’m a homosexual human male but I was pleasantly surprised that as soon as I pressed play literal rainbows started flying out of the screen. So gay! Loves it. https://t.co/wyL9AH6JPm,http://pbs.twimg.com/tweet_video_thumb/EQC7PhUXsAIv256.jpg,gay,gay,homosexual,lgbtq+,homo,lgbtq+,NA,NA,NA,NA,NA,NA
1225191826555957248g,Road blacks tonight. #GoDawgs https://t.co/vUUP7gMYVJ,http://pbs.twimg.com/media/EQDBeDEUcAAhcbc.jpg,NA,NA,NA,NA,NA,NA,blacks,black,NA,NA,NA,NA
1225199724304592897g,"Severe Thunderstorm Warning continues for Sheffield AL, Tuscumbia AL, Cherokee AL until 5:45 PM CST https://t.co/AcEFUWYYSD",http://pbs.twimg.com/media/EQDIqCLUYAAdfTT.jpg,bi,bisexual,NA,NA,NA,NA,cherokee,native american,NA,NA,NA,NA
1225209431899557888g,"Happening now: Jasmine Hu presenting ""The tune that can no longer be recognized: Late medieval Chinese poetry and its affective others"" https://t.co/uifOwPLvER",http://pbs.twimg.com/media/EQDRewkU4AA3HRl.jpg,NA,NA,NA,NA,NA,NA,chinese,asian,NA,NA,NA,NA
1225212523655376896g,"Disgraceful day for Canada. Trans Miuntain pipeline expansion approved, despite the fact that we are in a climate crisis, and non-fossil fuels are 100% feasible. AND this conflicts with aboriginal concerns. FAIL AFTER FAIL. https://t.co/13yHr7wXTe",http://pbs.twimg.com/media/EQDUSX-XkAEurhH.jpg,trans,transgender,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225212991697825792g,I can’t be real wit you bitches 🙅🏽‍♂️ I woulda killed for my niggas 🔫⚫️ [sc: flowing.goddess] What’s y’all SC? Drop ya codes 👀 ONLY QUEERS🏳️‍🌈 #lgbt2020 #LGBTQ2020 https://t.co/d6H2li0Zr3,http://pbs.twimg.com/ext_tw_video_thumb/1225212799263158273/pu/img/HxMUfKpN_yhop55B.jpg,bi,bisexual,queer,lgbtq+,NA,NA,nigga,black,niggas,black,NA,NA
1225213952180785152g,Abraham Lincoln tested emancipation through colonization. He believed if you removed slavery you needed to remove enslaved people -@SmithsonianSec @WhiteHouseHstry #SPNInitiative https://t.co/P8BuUebDMB,http://pbs.twimg.com/media/EQDVmDkXkAEHADu.jpg,NA,NA,NA,NA,NA,NA,slavery,black,NA,NA,NA,NA
1225215166058356736g,"@LoveForgivPeace @MayorTasha Tasha Williamson, SD 1st Black Woman Mayoral candidate will be speaking on @KPBS 89.5fm Radio after 4:34pm! And tonight Mayoral Forum at Downtown @SDPublicLibrary next to Trolley @sdmts. https://t.co/mtjqSVGw6T",http://pbs.twimg.com/media/EQDWHM9UcAEIsi0.jpg,NA,NA,NA,NA,NA,NA,black woman,black,NA,NA,NA,NA
1225217681428635648g,"Hoy en la Cámara de Diputados, conmemoramos el 103 aniversario de la promulgación de nuestra Constitución Política de los Estados Unidos Mexicanos. @paolagzzcas ❤🇲🇽 #UnidosEsMejor #AhoraSeráMejor https://t.co/igcMn9U0uJ",http://pbs.twimg.com/media/EQDY-xhUEAANhqW.jpg,NA,NA,NA,NA,NA,NA,mex,hispanic,mexican,hispanic,mexicanos,hispanic
1225219032380514304g,"I finally have a minute in my life to wish a very happy 21st to a king who makes living bearable. Can’t believe our friendship began when you were a child &amp; now you’re all grown up. Adult life sucks, but at least you can finally go with me to the gay bars up in the city. Love u. https://t.co/WJBqHtxfsm",http://pbs.twimg.com/media/EQDaMswU4AAmj9f.jpg,gay,gay,NA,NA,NA,NA,arab,middle eastern,NA,NA,NA,NA
1225219250966523905g,Vean cómo nos llaman los que dicen ser whitexicans yo les digo a estos bola de #pandejos los morenos mexicanos gozamos con lo que ustedes creen que sufrimos.. y en realidad les duele que sus comentarios nos los pasemos por el arco del triunfo. #chairos que opinas https://t.co/Po9KYhv1Lx,http://pbs.twimg.com/media/EQDaabfVUAIKVCg.jpg,NA,NA,NA,NA,NA,NA,mex,hispanic,mexican,hispanic,mexicanos,hispanic
1225223241024888832g,If you go to UIW you know this nigga always be doin some shit 😭🤣☠️ https://t.co/DIxxZGO6MU,http://pbs.twimg.com/ext_tw_video_thumb/1225223125819723776/pu/img/x-sb3cR5bEAr41-u.jpg,NA,NA,NA,NA,NA,NA,nigga,black,NA,NA,NA,NA
1225226909836988416g,⚡️UPCOMING SHOWS⚡️ 3/8 @LittleJoyLA 3/14 @MoonKILLRadio1 4/8 @TheSatelliteLA 4/12 @queeraspunkla 5/2 @DOLLHUT Photo: Ting Ting Yu 🖤 #riotgrrrl #feminist #queer #punk #girlpunk #queerpunk #feministpunk #rock #melodic #noiserock #femaleband #dissonant #punkrock #postpunk https://t.co/oC75wPc1lu,http://pbs.twimg.com/media/EQDhYBZVAAAbjf2.jpg,queer,lgbtq+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1225228109135347712g,“QUEENDOM” / “KINGDOM” Quick Wip Series Acrylic on canvas Size-16x20 Canvas Prints=$120(Each) Original=$200(Each) Song by @wizkidayo DM ME IF INTERESTED OR CLICK LINK IN MY BIO!! #art #artist #artistsoninstagram #blackhistorymonth #blackgirlmagic #blackhistory #blackart https://t.co/v7EI1P56vF,http://pbs.twimg.com/ext_tw_video_thumb/1225227765797945344/pu/img/JqUU2jXe1gSLYnqH.jpg,bi,bisexual,NA,NA,NA,NA,blackgirlmagic,black,NA,NA,NA,NA
1225228139560869890g,“QUEENDOM” / “KINGDOM” Quick Wip Series Acrylic on canvas Size-16x20 Canvas Prints=$120(Each) Original=$200(Each) Song by @wizkidayo DM ME IF INTERESTED OR CLICK LINK IN MY BIO!! #art #artist #artistsoninstagram #blackhistorymonth #blackgirlmagic #blackhistory #blackart https://t.co/wTt1tx1j50,http://pbs.twimg.com/media/EQDifJeW4AwMlT8.jpg,bi,bisexual,NA,NA,NA,NA,blackgirlmagic,black,NA,NA,NA,NA
1225231770620243969g,I ain’t prejudice (cause I can’t be racist) but this was right on time for my laugh box https://t.co/4iLS5QaKXb,http://pbs.twimg.com/media/EQDlzJFW4AASVQ1.jpg,NA,NA,NA,NA,NA,NA,racist,minority,NA,NA,NA,NA
1225232591353253888g,Mango lassi and chicken Thai fried rice. ❤️❤️❤️ #Foodie https://t.co/dCjYhPIHqH,http://pbs.twimg.com/media/EQDmh2GX0AUR6Zb.jpg,NA,NA,NA,NA,NA,NA,thai,asian,NA,NA,NA,NA
1225234084315717633g,Amazingly Kirk Douglas passed away on the 11th Yahrtzeit of Rav Noach Weinberg. May they continue to work together on behalf of the Jewish people in Heaven. https://t.co/OWXvJLc81C,http://pbs.twimg.com/media/EQDn5yOUcAEvydg.jpg,NA,NA,NA,NA,NA,NA,jewish,jewish,jew,jewish,NA,NA
1225242280111591425g,Artwork for Black History Month #OTTM #DMSFineArts https://t.co/2cQgUVzbJF,http://pbs.twimg.com/media/EQDvUjvW4AE1Oru.jpg,NA,NA,NA,NA,NA,NA,black history,black,NA,NA,NA,NA
1225247502116491272g,"Heart, Confidence, Wisdom, Power, Courage,and Community! All I can say is WOW! What an amazing Black History Month Program! Our students are AMAZING!!!! @ms_tennenbaum @MrsLomonico @PHSC_Tigers @PLSD @plsdsupt @rcooper946 https://t.co/vlBXyEjXWx",http://pbs.twimg.com/ext_tw_video_thumb/1225247032929116161/pu/img/E4TKtVQeZEjh2K5h.jpg,NA,NA,NA,NA,NA,NA,black history,black,NA,NA,NA,NA
1225250677154336768g,"In some of the concept art, Raihan and Nessa both had brown eyes. That got changed in the final build, but ever since I was a kid I always asked, ""Why do they always give brown people white hair and/or blue eyes?"" https://t.co/NoNsF5IMAq",http://pbs.twimg.com/media/EQD2_gAWkAUFGy2.jpg,NA,NA,NA,NA,NA,NA,brown people,minority,NA,NA,NA,NA
1225252389239902210g,@jaylinCunningh1 my nigga 😁 https://t.co/rQLX2vDtCg,http://pbs.twimg.com/tweet_video_thumb/EQD4i8hW4AAquIJ.jpg,NA,NA,NA,NA,NA,NA,nigga,black,NA,NA,NA,NA
1225256589877227521g,"@LaCasacaBlog ""porqué no acepté posar con la de Nigeria?"" https://t.co/zfMoVxDQtt",http://pbs.twimg.com/media/EQD8XyqUwAANUK2.jpg,NA,NA,NA,NA,NA,NA,nigeria,black,NA,NA,NA,NA
1225257090911850496g,@theAdamPage while on the @jericho_cruise in the Bahamas... mission accomplished #cowboyshit https://t.co/Va5nvHioRo,http://pbs.twimg.com/media/EQD808iWkAAQ6gh.jpg,NA,NA,NA,NA,NA,NA,bahamas,black,hamas,middle eastern,NA,NA
1225264167059435521g,"Tuve el gusto de acompañar a nuestro gobernador @fgcabezadevaca, a su esposa, la Sra. @Marianagdeg y artistas locales en la inauguración de la muestra de arte “El color de #Tamaulipas” que tiene como objetivo acercar el arte y la cultura a todas y todos los tamaulipecos. https://t.co/6VBGSIH53s",http://pbs.twimg.com/media/EQEDQxSXYAIBNvc.jpg,NA,NA,NA,NA,NA,NA,tamaulipas,hispanic,NA,NA,NA,NA
1225264237959729152g,"💋💄👸🏼 La reina absoluta del pop latino @thalia engalanará la noche de @premiolonuestro 2020 como conductora; la actriz y cantante será parte de la edición número 32 de esta ceremonia al lado de @AlejandraEspinoza y @Pitbull, 20 de febrero a partir de las 7P/6C por @Univision 🎤 https://t.co/krPDtIIOz7",http://pbs.twimg.com/ext_tw_video_thumb/1225264063535407104/pu/img/ID7WEfwZh6Z5k_Wv.jpg,NA,NA,NA,NA,NA,NA,latino,hispanic,NA,NA,NA,NA
1225272638236282880g,@Tshego_M12 our South African Trey songz🔥🔥🔥...nekere ke BUWA something ka Setswana Mara gwa ganega yong 🤦‍♀️ 🤣 a wae pona mara? 🔥🔥🔥🔥🔥 https://t.co/nNzzM4QXrX,http://pbs.twimg.com/ext_tw_video_thumb/1225272510402314240/pu/img/LFLsTy6ofY13pLXg.jpg,NA,NA,NA,NA,NA,NA,south african,black,NA,NA,NA,NA
1225279894357237761g,"Discussing"" Black history month:Where are we now. Deandre's dreads"" https://t.co/Y8enfA3kpS",http://pbs.twimg.com/media/EQERkSAUcAIWc0f.jpg,NA,NA,NA,NA,NA,NA,black history,black,NA,NA,NA,NA
1225283688650305538g,"Todo lo que necesitas vive dentro de ti, Namaste y TE CALLAS!♥️ 📷 @allanmichaeloff #actress #model #transgender #trans #puertorican #MiercolesDeGanarSeguidores https://t.co/y63PEbgtvv",http://pbs.twimg.com/media/EQEVBKgVUAArQyd.jpg,trans,transgender,NA,NA,transgender,transgender,guido,white,NA,NA,NA,NA
