image,text
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026127277728432128g.png,American-Haitian Doctors Network #Vision2030 https://t.co/iGl0FhYw1A
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026129082814263297g.png,"Elections were held on 30 July 2018, which he won with 2,460,463 votes (50.8% of the vote), and was officially proclaimed the winner on 2 August 2018. Mnangagwa is nicknamed 'Garwe' or 'Ngwena', which means 'the crocodile' in the Shona language, https://t.co/FhzfjziGLh"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026132026607300609g.png,@DJ_Kehl (No homo unless you want it to be) https://t.co/kwJVVctUiV
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026140104807657473g.png,#mexicans be like 😭😂😂😂💀 https://t.co/0DxttmFH3P
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026140685685194752g.png,🏖️🏝️🌅#Caribbeans or #borabora . 55cts gigantic sea blue aquamarine! #aquamarine #iloveblue #blue #sky #beach #loopclean #crystals #gemstone #ocean #caribbeanislands #vacation #holidays #summers #brazil #porto #miami #florida #santamonica #cali #california #jewels #fineart https://t.co/NF9JmbBgGm
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026141463321698304g.png,When you tell a nigga take 1 chip and they take 3 https://t.co/vMwU2Ln5SB
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026143728056946688g.png,"Planted last year, dried the flowers &amp; researched Gardenias this year. A tea is made from flowers and extract used in Chinese medicine. Symbolism : love, clarity, protection. Gifted means : You’re lovely. Next year I will attempt enfleurage! #FlowerReport https://t.co/Jm62h82tMm"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026144586375356416g.png,"@_kassbekillinem What I've been saying all of my 74yrs on this planet! Unity, supporting Black business worked at the turn of the 20th century... #Tulsa and all of the other Black communities were thriving, so a jealous White America burned them down! Segregation is the Black man's salvation! https://t.co/U6qhLseenZ"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026144992241246209g.png,Habitaciones desde 160 pesos cocheras 180 pesos para todo el día 250 pesos en Belisario dominguez 625 jal Mex .wifi sky bar restaurante. .sector libertad https://t.co/5TmXYfxtAk
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026145572070273024g.png,Niggas really do be on some grimy shit out here and it be our own women who are treated badly 😣 yall niggas gots to do better https://t.co/eDfsG5ENFV
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026149299623739392g.png,@RepAdamSchiff Adam has a voice. For his donors. Globalist most of them. #MAGA https://t.co/Jts8TSlguB
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026152547847876608g.png,"@CCMS_SFU @vanmuralfest Design by Graphic Artist Doaa Jamal . . . Showcasing Presence &amp; Art of The Muslim Community in Vancouver, Vancouver Mural Festival / Centre for Comparative Muslim Studies at SFU Saturday August 4 2018 : Mural Making! | #VancouverMuralFest #vanmuralfest #cdnmuslims #Vancouver https://t.co/U4ZVr0SDH5"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026153676006674432g.png,"Geoff and Gena Show: Episode 33 is now on Twitter, Instagram, YouTube, and Facebook. Subscribe to our channel on FB “Sandcastle Studios Bahamas” and our featured group page “Bahamas Guru”. #sandcastlestudios #geoffgena https://t.co/Ad8X6tWZq5"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026153773331345408g.png,get you a #batonrouge nigga https://t.co/PDObsoAZy3
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026155071720042498g.png,"What if we just got #Fatah and #Hamas their own Attaché badges like Edward Tavner on the show, Patriot? We could engrave, “Legitimate Palestinian Representative,” on it instead. 💡 https://t.co/ucifrRIt1X"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026155225407795200g.png,"Double header of FREE live music today at Liberty State Park, 4-8pm! Bring a picnic or grab some food from one of our vendors. La Charanga ‘76 (Cuban dance music) at 4pm &amp; 3D Rhythm of Life (Latin-Tropical-Soul) at 6pm! https://t.co/KOf4TYPfMS"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026158793401552896g.png,The same niggas talking down prolly owe me. 💪🏾🔌 https://t.co/ghb5mqvDWw
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026159685026701312g.png,Niggas are going super saiyan in the studio right now . I can’t wait to show you guys this work ...👀 https://t.co/ZC6qizbXAB
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026160527049977863g.png,#salsainteractivaradio SIR Trae a: JUAN PABLO LLINÁS Show: SWING LATINO Programando salsa brava Dale click al player de sonido aca: https://t.co/XJ84u4b7GE O baja para androides o Iphone aplicación buscando: salsa interactiva radio O busquenos en Tunein https://t.co/ad2kfg2i1N
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026161530830614528g.png,"Just heard @POTUS has a 90% approval among Republicans, a record, 29% approval among blacks, a doubling, and record approval among Hispanics. I do believe Americans are doing their research! #VoteAmericaFirstCandidates #VoteRepublican2018 🇺🇸 #VoterID #KeepAmericaGreat https://t.co/AM5Ti2aEAK"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026164126031040512g.png,"Rest in Paradise, Oscar Grant #fruitvalestation #BLM https://t.co/lSgXhUBamT"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026165421295194113g.png,@RealCandaceO has fired out just how ABSURD this TRAVESTY is to IMMIGRANTS who try to become American CITIZENS LEGALLY!! 👍🇺🇸❤ https://t.co/wV5qUoVpoE
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026166298567294976g.png,"@CCMS_SFU @vanmuralfest Design by Graphic Artist Doaa Jamal . . . Showcasing Presence &amp; Art of The Muslim Community in #Vancouver, 123 E 8th Ave Vancouver Mural Festival / Centre for Comparative Muslim Studies at SFU Aug 4 2018 : MORE Mural Makers! |#VancouverMuralFestival #vanmuralfest #cdnmuslims https://t.co/9jStdTF2Bg"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026168586874900485g.png,"The world’s 20 top #tech #companies in 2018 via @VisualCap. 7 US companies, 3 Chinese in the TOP 10. How many European companies? Guess... https://t.co/Zd4BamtKfo"
https://github.com/heranmane/label_studio_images/tree/main/twitter_data/mixed_images/2018mixed/1026169445876609024g.png,🎶you niggas is weird🎶 https://t.co/fKwpOCtsq8
