tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1344874289728729089g,#HappyNewYear2021 Is Here !!!!! #BeSafe #BeBlessed #StayWoke 🙏🏼🙏🏼🙏🏼❤️❤️❤️🥰🥰🥰 https://t.co/hhJhPIgFK6,http://pbs.twimg.com/media/Eqn0CheXIAADLe5.jpg,NA,NA,NA,NA,NA,NA,staywoke,black,NA,NA,NA,NA
1344875863972712448g,"On the Chinese Calendar, 2021 is the year of the Ox. Let’s hope this horoscope is true! ✨ #Bye2020 https://t.co/A8kKEAIrs0",http://pbs.twimg.com/media/Eqn1eFHXcAAKj2T.jpg,NA,NA,NA,NA,NA,NA,chinese,asian,NA,NA,NA,NA
1344884758917099521g,"दिल्ली तेरे दरवाज़ों पे उमड़ा, जनतंत्र का सैलाब है । #कंवल #Kanwal #Poetry #Hindi #Urdu #Injustice #Tyranny #Dictatorship #Rights #HumanRightsViolations #HumanRights #Power #Protest #Politics #Democracy #India #Delhi #FarmersProtest #Farmers https://t.co/SCecMPaChg",http://pbs.twimg.com/media/Eqn9j4kXAAAschy.jpg,NA,NA,NA,NA,NA,NA,hindi,asian,urdu,middle eastern,NA,NA
1344888223521067008g,"I was AGAIN harassed for being gay. Our fight is not over! Stand up for who u are, what u are, and what u represent! What better way to clap back and share my QUEERNESS with THE WORLD other than photoshopping myself onto one of the most iconic albums ever! #lgbtq @britneyspears https://t.co/MAx2EPR1EH",http://pbs.twimg.com/media/EqoAtcBVQAAzCio.jpg,gay,gay,queer,lgbtq+,NA,NA,NA,NA,NA,NA,NA,NA
1344899775699697664g,It’s almost 11pm. I’ve eaten pizza and Chinese food. I’ve watched Midnight Sky (not great). Lost at Yahtzee 3 times. Tried (unsuccessfully) to calm my dog down from fireworks noise and bought a Dan Marino rookie card on eBay. Let’s drop this ball and call it a night... https://t.co/g4w6kH98C4,http://pbs.twimg.com/media/EqoLNyEVgAIX4FP.jpg,NA,NA,NA,NA,NA,NA,chinese,asian,NA,NA,NA,NA
1344969663613198337g,Settt marked at 100 a g this nigga a rat https://t.co/EaVoVgiA7X,http://pbs.twimg.com/media/EqpKyAQXcAAH4Uc.jpg,NA,NA,NA,NA,NA,NA,nigga,black,NA,NA,NA,NA
1344982460036214784g,"@MandiBee88 @SUBRATA30016572 @JoeBiden Oh and my favorite, holding hands with #kkk Grand Cyclops Democrat Senator Robert Byrd. https://t.co/6O20d2or2V",http://pbs.twimg.com/media/EqpWam5XIAEYvOe.jpg,bi,bisexual,NA,NA,NA,NA,kkk,white,NA,NA,NA,NA
1344988545426055168g,Asalaamu Alaikum. Jumu'ah Mubarak♥️! https://t.co/sNs6PGFz6P . . . . #JumuahMubarak #JummahMubarak #kahf #surah #Covid19 #Washyourhands #SocialDistancing #Besafe #sanitize #Pandemic #Baitulmaal #hope #Compassion #hadith #islam #dua #prayer #hijab #Friday #newyear #newyear2021 https://t.co/DjU5bjrlML,http://pbs.twimg.com/media/Eqpb9CQXMAEYL8N.jpg,NA,NA,NA,NA,NA,NA,hijab,middle eastern,islam,middle eastern,NA,NA
1344992045069443074g,Pffft. Mayans what do they know? Happy New Year humans. https://t.co/W2rrx0eJ4r,http://pbs.twimg.com/media/EqpfIylXMAENIjW.jpg,NA,NA,NA,NA,NA,NA,mayans,hispanic,NA,NA,NA,NA
1345015751426641923g,Happy New Year from your Cherokee Baseball Family! Wishing a wonderful 2021 for ALL!! https://t.co/aau5aFLMWK,http://pbs.twimg.com/media/Eqp0sk3XUAA7Jo9.jpg,NA,NA,NA,NA,NA,NA,cherokee,native american,NA,NA,NA,NA
1345025522128932870g,"Gachas-mente hablando empece el año cool. En AL saque un barco SR de un drop. En Honkai solo me falto la stigmata B de la nueva Durandal... Ahora vamps a ver como me va con los rolls por Tama Caster en FGO. Tiren buena vibra, raza. https://t.co/HJ3cCVZlOx",http://pbs.twimg.com/media/Eqp9kp8VEAUGeyl.jpg,NA,NA,NA,NA,NA,NA,raza,hispanic,NA,NA,NA,NA
1345028233025249281g,"@dionnewarwick good morning beautiful sister I love how you are inspiring people in affluent positions to be a better person, I am Lakota /Sioux and we have much in common, you are a blessing and a beacon of hope, the women will lead this awakening @20UnionPrinters @ChrashleyAnn https://t.co/8fQxvsrURI",http://pbs.twimg.com/media/EqqADMXXAAE-rF2.jpg,NA,NA,NA,NA,NA,NA,sioux,native american,NA,NA,NA,NA
1345029944846508032g,It’s a real nigga birthday! 🥳🎂 gon head and bless ya girl if you feeling generous in this new year! #Jan1st #NewYearBaby https://t.co/aXJWmEfQQ6,http://pbs.twimg.com/media/EqqBmqxXUAAYNlp.jpg,bi,bisexual,NA,NA,NA,NA,nigga,black,NA,NA,NA,NA
