tweet_id,tweet_text,img_url,lgbtterm1,lgbtcat1,lgbtterm2,lgbtcat2,lgbtterm3,lgbtcat3,raceterm1,racecat1,raceterm2,racecat2,raceterm3,racecat3
1026479806588706821g,Hair cuts by licensed stylists to benefit the refugee families of Sylvan Lake! Sat. Aug. 25 9-3pm. Alliance Church. #backtoschool #SylvanLake https://t.co/rZU0GSU2OU https://t.co/xWLtgkF6lY,http://pbs.twimg.com/media/Dj7J7l5UcAAbbTv.jpg,NA,NA,NA,NA,NA,NA,refugee,refugee,NA,NA,NA,NA
1026883862708854784g,niggas think you sweet. lost my respect. you not a threat. 🎈 https://t.co/LoKdoaZ7GJ,http://pbs.twimg.com/ext_tw_video_thumb/1026883506918645765/pu/img/thKAnKQfIzKT9Ozd.jpg,NA,NA,NA,NA,NA,NA,nigga,black,niggas,black,NA,NA
1026887697774694401g,If you niggas wanna talk then bring me a stack 💰 https://t.co/7LgYAH9lhj,http://pbs.twimg.com/media/DkA86fiXsAAErj1.jpg,NA,NA,NA,NA,NA,NA,nigga,black,niggas,black,NA,NA
1026890587377688578g,Great news for all the alt-right proud boys out there https://t.co/RdPco0vyMC,http://pbs.twimg.com/media/DkA_i1oU8AA5SBU.jpg,NA,NA,NA,NA,NA,NA,proud boys,white,NA,NA,NA,NA
1029067962941153280g,@Thommaaasss “you wanna be a white woman so bad” https://t.co/XrqKEM5J93,http://pbs.twimg.com/tweet_video_thumb/Dkf72oOV4AAVToI.jpg,NA,NA,NA,NA,NA,NA,white woman,white,NA,NA,NA,NA
1029071749885947906g,I’m Asian. 🤦🏾‍♂️ https://t.co/5F6DJXtWJS,http://pbs.twimg.com/media/Dkf_TFyU0AA73m7.jpg,NA,NA,NA,NA,NA,NA,asian,asian,NA,NA,NA,NA
1029078824531709958g,"I Slap This Song Errday🔥🔥🔥...It Turned Into My Song Of The Year...Turn A lot Of My Niggas On To This..And Et We Did It, Mask On, A lot Of That, And Much More..@Sauce_Walka102 Be Spiting Et #PIMPSHIT Real Talk💯💯💯 Plus Bro Be Showing Out In His Videos Real Talk👌🏾🤙🏾💪🏾 https://t.co/M4et2v98O3",http://pbs.twimg.com/media/DkgFvAYXsAAVUi4.jpg,NA,NA,NA,NA,NA,NA,nigga,black,niggas,black,NA,NA
1029085369327792128g,So @HayleyKiyoko performed my favorite and most relatable song aside from Sleepover and you can hear me screaming my heart out to it. We love a gay icon 🌈🏳️‍🌈💜 https://t.co/icPqm87v99,http://pbs.twimg.com/ext_tw_video_thumb/1029085323383341056/pu/img/SrxaiPym2O5x5pIh.jpg,gay,gay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029085414114713600g,"“A white crane bore a bitter peach /and flew a thousand miles in one breath” -The Complete Cold Mountain, Poems of the Legendary Hermit Hanshan, trans. by Kazuaki Tanahashi &amp; Peter Levitt (@ShambhalaPubs) https://t.co/ECjCqQiozr",http://pbs.twimg.com/media/DkgLuarU0AA8dPz.jpg,bi,bisexual,trans,transgender,NA,NA,NA,NA,NA,NA,NA,NA
1029086601660575746g,@BevHillsAntifa7 @Jillibean557 What is Antifa? Soros is looking for what? https://t.co/QazLSzskro,http://pbs.twimg.com/tweet_video_thumb/DkgMyAKXsAEQeEm.jpg,NA,NA,NA,NA,NA,NA,soros,jewish,NA,NA,NA,NA
